id,name,latitude,longitude,route_ids,route_names,first_arrival,last_departure,service_ids
1,Dilshad Garden,28.675991,77.321495,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:30:02,23:53:26,"saturday,weekday"
2,Jhilmil,28.675648,77.312393,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:32:17,23:51:11,"saturday,weekday"
3,Mansrover park,28.675352,77.301178,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:34:32,23:48:56,"saturday,weekday"
4,Shahdara,28.673531,77.28727,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:37:02,23:46:26,"saturday,weekday"
5,Welcome,28.671986,77.277931,"0,1,11,18,19,29","P_MS,P_MS_R,R_RD,R_RD_R,R_RS,R_RS_R",05:39:32,24:52:40,"saturday,weekday"
6,Seelam Pur,28.670324,77.267311,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:41:57,23:47:46,"saturday,weekday"
7,Shastri Park,28.668451,77.250404,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:44:47,23:50:36,"saturday,weekday"
8,Kashmere Gate,28.667879,77.228012,"0,1,10,18,19,2,20,21,27,28,3,9","R_RD,R_RD_R,R_RS,R_RS_R,V_KB,V_KB_R,V_KR,V_KR_R,Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:48:32,24:45:24,"saturday,weekday"
9,Tis Hazari,28.667137,77.216721,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:50:57,23:56:46,"saturday,weekday"
10,Pul Bangash,28.66571,77.206329,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:52:02,23:59:01,"saturday,weekday"
11,Pratap Nagar,28.666632,77.196869,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:49:47,24:01:16,"saturday,weekday"
12,Shastri Nagar,28.670135,77.181679,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:46:52,24:04:11,"saturday,weekday"
13,Inderlok,28.673452,77.170235,"0,1,18,19,26,8","G_IB,G_IB_R,R_RD,R_RD_R,R_RS,R_RS_R",05:44:17,24:06:46,"saturday,weekday"
14,Kanhaiya Nagar,28.682386,77.162552,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:41:57,24:09:06,"saturday,weekday"
15,Keshav Puram,28.688944,77.161774,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:39:57,24:11:06,"saturday,weekday"
16,Netaji Subash Place,28.695637,77.152428,"0,1,11,18,19,29","P_MS,P_MS_R,R_RD,R_RD_R,R_RS,R_RS_R",05:37:17,24:56:51,"saturday,weekday"
17,Kohat Enclave,28.697943,77.140465,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:34:47,24:16:16,"saturday,weekday"
18,Pitampura,28.70318,77.132355,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:32:27,24:18:36,"saturday,weekday"
19,Rohini East,28.707941,77.125732,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:30:22,24:20:41,"saturday,weekday"
20,Rohini West,28.715008,77.115746,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:27:52,24:23:11,"saturday,weekday"
21,Rithala,28.720821,77.105042,"0,1,18,19","R_RD,R_RD_R,R_RS,R_RS_R",05:25:02,24:26:01,"saturday,weekday"
22,Mundka,28.682411,77.028282,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:20:04,23:29:29,weekday
